,RSI,KD,MA,MACD,Strength,Trend
758,0,1,2,1,1,3
759,0,1,1,1,1,2
760,0,1,1,1,1,2
761,0,-2,1,1,-2,2
762,0,-1,-2,1,-1,-1
763,1,-1,2,1,0,3
764,0,-1,-2,1,-1,-1
765,0,-1,2,1,-1,3
766,0,-1,1,1,-1,2
767,0,-1,1,1,-1,2
768,0,-1,-2,1,-1,-1
769,0,-1,2,1,-1,3
770,1,-1,1,-2,0,-1
771,2,2,1,-1,4,0
772,2,1,1,-1,3,0
773,2,1,1,-1,3,0
774,2,1,1,-1,3,0
775,2,-2,1,-1,0,0
776,2,-1,1,-1,1,0
777,1,-1,1,-1,0,0
778,0,-1,-2,-1,-1,-3
779,0,-1,-1,-1,-1,-2
780,1,-1,2,-1,0,1
781,0,-1,1,-1,-1,0
782,0,-1,1,-1,-1,0
783,0,2,1,-1,2,0
784,2,1,1,-1,3,0
785,2,1,1,-1,3,0
786,0,1,1,-1,1,0
787,0,-2,-2,-1,-2,-3
788,0,-1,-1,2,-1,1
789,0,-1,-1,1,-1,0
790,-1,-1,2,1,-2,3
791,0,-1,1,1,-1,2
792,0,-1,1,1,-1,2
793,2,2,1,1,4,2
794,2,1,1,1,3,2
795,1,1,1,1,2,2
796,1,1,-2,1,2,-1
797,0,1,-1,1,1,0
798,0,-2,-1,1,-2,0
799,-2,2,-1,1,0,0
800,0,1,-1,1,1,0
801,-1,1,-1,1,0,0
802,-1,-2,-1,1,-3,0
803,-2,-1,-1,1,-3,0
804,0,-1,2,1,-1,3
805,0,-1,1,1,-1,2
806,-1,-1,-2,1,-2,-1
807,-1,-1,-1,1,-2,0
808,0,-1,-1,1,-1,0
809,0,2,2,1,2,3
810,0,1,1,1,1,2
811,0,1,1,1,1,2
812,0,1,-2,1,1,-1
813,1,1,-1,1,2,0
814,1,1,2,-2,2,0
815,0,1,1,-1,1,0
816,0,1,1,-1,1,0
817,0,1,-2,-1,1,-3
818,2,-2,-1,-1,0,-2
819,0,2,-1,-1,2,-2
820,-1,-2,-1,2,-3,1
821,-2,-1,-1,1,-3,0
822,-2,-1,-1,1,-3,0
823,-2,-1,-1,1,-3,0
824,-2,-1,-1,1,-3,0
825,0,-1,2,1,-1,3
826,0,2,1,1,2,2
827,2,1,1,1,3,2
828,2,1,1,-2,3,-1
829,2,1,1,-1,3,0
830,2,1,1,-1,3,0
831,2,1,-2,-1,3,-3
832,2,1,-1,-1,3,-2
833,0,1,-1,-1,1,-2
834,0,1,2,-1,1,1
835,-1,-2,-2,-1,-3,-3
836,-1,-1,-1,-1,-2,-2
837,0,-1,-1,2,-1,1
838,-2,-1,-1,1,-3,0
839,-1,-1,-1,1,-2,0
840,-2,-1,-1,1,-3,0
